회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)사람인에이치에스,[강남/5000천이상] 플랫폼 백엔드 개발 (Python) 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429895&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력 4~12년,학력무관,정규직,채용시,"Python, AWS, 솔루션, 웹개발, 빅데이터 외                    수정일 24/12/06",
아일리스프런티어(주),AI 서비스 - 자연어처리 (NLP) / Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395261&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 종로구,경력 1~3년,학력무관,정규직,~ 12/12(목),"Python, 딥러닝, 머신러닝, 웹개발, 빅데이터 외                    등록일 24/11/13",취업축하금
아일리스프런티어(주),AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394122&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 종로구,경력 1~3년,학력무관,정규직,채용시,"Python, 딥러닝, 머신러닝, 백엔드/서버개발, 알고리즘 외                    수정일 24/11/13",연봉상승률 20% 이상
(주)링크제니시스,차량용 S/W Test 자동화 검증(Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409574&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,인천 서구,신입·경력,초대졸↑,정규직,~ 01/14(화),"Python, C++, Java, QA/테스터, S/W 외                    등록일 24/11/15",사내 카페
(주)데이터다이나믹스,정규 Python/Data Engineer (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 용인시 수지구,신입·경력,학력무관,정규직,~ 12/25(수),"Python, AWS, Linux, 빅데이터, 클라우드 외                    등록일 24/11/25",급성장중
(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49214740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 영등포구,신입,초대졸↑,정규직,~ 12/16(월),"Python, 웹개발, 백엔드/서버개발, S/W, Django 외                    수정일 24/11/22",연봉상승률 10% 이상
(주)씨에스엠17,NestJS+Python 백엔드 개발자 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527589&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,경력5년↑,대졸↑,정규직,~ 01/02(목),"Python, C++, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/12/04",취업축하금
(주)크립토랩,소프트웨어 엔지니어 인턴 모집 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435007&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 관악구,경력무관,대졸↑,인턴직,~ 12/31(화),"Python, 머신러닝, Linux, S/W, SDK 외                    수정일 24/11/20",시리즈A 투자유치
(주)디지키,(주)디지키 Python 데이터 처리 및 분석 프로그램 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265971&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 안양시 만안구,신입·경력,학력무관,계약직,상시채용,"Python, 알고리즘, Pandas, 솔루션업체, 소프트웨어개발 등록일 24/10/24",급성장중
(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535977&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드 외                    수정일 24/12/05",급성장중
